date,wiki_unique_cacode_protests,unique_protests
2019-08-04,4.0,22
2019-08-05,9.0,31
2019-08-06,1.0,7
2019-08-07,2.0,1
2019-08-08,2.0,2
2019-08-09,1.0,6
2019-08-10,7.0,17
2019-08-11,9.0,26
2019-08-12,4.0,12
2019-08-13,1.0,6
2019-08-14,3.0,3
2019-08-16,1.0,4
2019-08-17,7.0,12
2019-08-18,1.0,19
2019-08-21,2.0,5
2019-08-22,1.0,3
2019-08-23,18.0,23
2019-08-24,3.0,9
2019-08-25,4.0,14
2019-08-27,1.0,1
2019-08-28,7.0,3
2019-08-29,2.0,2
2019-08-30,9.0,4
2019-08-31,3.0,12
2019-09-01,2.0,23
2019-09-02,19.0,27
2019-09-03,2.0,21
2019-09-05,3.0,7
2019-09-06,9.0,5
2019-09-07,6.0,13
2019-09-08,5.0,9
2019-09-09,8.0,6
2019-09-10,6.0,4
2019-09-11,9.0,2
2019-09-12,5.0,2
2019-09-13,4.0,7
2019-09-14,5.0,10
2019-09-15,5.0,12
2019-09-16,4.0,2
2019-09-17,5.0,3
2019-09-18,4.0,3
2019-09-19,3.0,4
2019-09-20,5.0,5
2019-09-21,6.0,23
2019-09-22,15.0,44
2019-09-23,1.0,6
2019-09-24,3.0,6
2019-09-26,1.0,4
2019-09-27,1.0,4
2019-09-28,2.0,17
2019-09-29,3.0,15
2019-09-30,3.0,18
2019-10-01,3.0,103
2019-10-02,10.0,30
2019-10-03,1.0,17
2019-10-04,16.0,90
2019-10-05,7.0,99
2019-10-06,5.0,97
2019-10-07,5.0,54
2019-10-08,1.0,26
2019-10-11,4.0,21
2019-10-12,4.0,14
2019-10-13,7.0,49
2019-10-14,2.0,16
2019-10-18,5.0,15
2019-10-19,1.0,3
2019-10-20,2.0,28
2019-10-21,9.0,13
2019-10-25,5.0,8
2019-10-26,2.0,23
2019-10-27,2.0,23
2019-10-29,1.0,8
2019-10-30,1.0,2
2019-10-31,3.0,11
2019-11-01,6.0,7
2019-11-02,4.0,20
2019-11-03,8.0,16
2019-11-04,2.0,11
2019-11-05,3.0,9
2019-11-06,1.0,9
2019-11-07,4.0,6
2019-11-08,17.0,31
2019-11-09,2.0,5
2019-11-10,10.0,24
2019-11-11,23.0,63
2019-11-12,8.0,46
2019-11-13,15.0,68
2019-11-14,14.0,63
2019-11-15,17.0,24
2019-11-16,1.0,9
2019-11-17,4.0,31
2019-11-18,3.0,26
2019-11-23,2.0,4
2019-11-25,3.0,3
2019-11-27,6.0,1
2019-11-28,4.0,2
2019-11-29,4.0,4
2019-11-30,4.0,1
2019-12-01,7.0,8
2019-12-02,1.0,1
2019-12-03,1.0,1
2019-12-05,1.0,2
2019-12-07,1.0,2
2019-12-08,3.0,13
2019-12-09,4.0,4
2019-12-10,1.0,3
2019-12-11,3.0,3
2019-12-12,3.0,5
2019-12-13,1.0,3
2019-12-15,8.0,10
2019-12-17,6.0,2
2019-12-19,3.0,1
2019-12-20,3.0,1
2019-12-21,3.0,2
2019-12-22,1.0,3
2019-12-23,5.0,1
2019-12-24,5.0,9
2019-12-25,2.0,11
2019-12-26,3.0,7
2019-12-27,1.0,3
2019-12-28,2.0,4
2019-12-30,1.0,1
2019-12-31,8.0,7
2020-01-01,2.0,14
2020-01-02,1.0,1
2020-01-03,2.0,1
2020-01-05,1.0,5
2020-01-07,3.0,3
2020-01-08,1.0,1
2020-01-09,1.0,1
2020-01-10,1.0,2
2020-01-12,1.0,3
2020-01-17,4.0,1
2020-01-18,2.0,2
2020-01-19,2.0,6
2020-01-21,2.0,2
2020-01-22,1.0,1
2020-01-23,1.0,1
2020-01-24,2.0,1
2020-01-27,2.0,1
2020-01-29,1.0,7
